City,Latitude,Longitude,AQI
Dolbeau,46.7463827,-1.7984902273921888,2.0
Belton,31.0560132,-97.464453,3.0
Stow,41.1596261,-81.4406258,3.0
Sioux Falls,43.5488256,-96.7307737,2.0
Catalina Foothills,32.297853,-110.9187037,3.0
Manhattan Beach,33.8915985,-118.3951241,4.0
Neosho,36.8665201,-94.3701651,3.0
San Juan De Las Huertas,19.2465521,-99.7575711,2.0
Winfield,37.2397486,-96.9955919,3.0
Winnetka,42.1080703,-87.7365286,3.0
Mundelein,42.263079,-88.0039653,3.0
Norco,33.9323307,-117.5508901,3.0
Atlixco,18.908889,-98.437778,2.0
Mount Holly,39.9928898,-74.7876624,3.0
Tulancingo,20.0839585,-98.3635381,2.0
Lake City,44.4478474,-92.2678663,2.0
Chippewa Falls,44.9369054,-91.3929348,2.0
Tuckahoe,40.9503764,-73.827356,3.0
Cockeysville,39.4845658,-76.6502845,3.0
Saint Matthews,38.2528489,-85.6557947,3.0
Tarboro,35.8968236,-77.5358049,3.0
Jenison,42.9072481,-85.7919784,3.0
Wenatchee,47.4234599,-120.310349,1.0
Sherrelwood,39.8407212,-105.0031618,2.0
Lathrop,37.8227046,-121.27661,2.0
Petawawa,45.8984286,-77.2826645,2.0
Oakton,38.8827407,-77.292237,3.0
Tlaltelulco,19.275833,-98.193889,2.0
Sedro Woolley,48.504994,-122.235109,2.0
Perris,33.7825194,-117.2286478,3.0
North Saint Paul,45.0122571,-92.9922512,2.0
North Battleford,52.776186,-108.300476,2.0
San Jose Iturbide,21.0002488,-100.385788,2.0
Ometepec,16.6859286,-98.4046212,1.0
Rancho Palos Verdes,33.7483311,-118.3707683,4.0
Odenton,39.0897199,-76.7073534,3.0
Mentor,41.6664781,-81.3399769,3.0
Cornelius,35.481705,-80.8590006,3.0
Pine Bluff,34.2157064,-92.0140402,4.0
River Forest,41.8978091,-87.8139483,3.0
Universal City,34.1419417,-118.3584459,3.0
Fairfield,38.2493581,-122.039966,3.0
Purepero,19.9105449,-102.0070524,2.0
Alabaster,33.2442813,-86.8163773,4.0
Rockville,39.0817985,-77.1516844,3.0
Hawaiian Gardens,33.8284787,-118.074313,4.0
Naranjos,-5.3510305,-78.878199,1.0
Blacksburg,37.2296566,-80.4136767,2.0
Dearborn,42.3222599,-83.1763145,3.0
Tecamac,19.7115011,-98.968354,2.0
North Babylon,40.7164881,-73.3217861,3.0
El Sobrante,37.9774476,-122.2949894,3.0
Saratoga,37.2638324,-122.0230146,3.0
Salem,44.9391565,-123.033121,1.0
Stony Point,41.2295386,-73.9870847,3.0
North Valley,35.1733771,-106.623359,2.0
Falls Church,38.882334,-77.1710914,3.0
Leisure City,25.4953878,-80.4292223,3.0
Livonia,42.36837,-83.3527097,3.0
Wilbraham,42.1229193,-72.4314583,3.0
Millbrook,44.1511443,-78.4475977,3.0
Zapotlanejo,20.6214366,-103.0668511,2.0
Mapastepec,15.43981,-92.898367,1.0
Woodward,41.8569299,-93.9218956,3.0
Beloeil,45.5643183,-73.2040066,2.0
Aloha,45.4942838,-122.8670451,1.0
Goodlettsville,36.334911500000004,-86.70533913302022,3.0
West Haven,41.2706527,-72.9470471,3.0
Florissant,38.7919683,-90.3227803,4.0
Neenah,44.1858193,-88.462609,2.0
Nealtican,19.051667,-98.428889,2.0
South Lyon,42.451377,-83.659179,3.0
Gardena,33.8963593,-118.3053037,4.0
Greeley,40.4233142,-104.7091322,2.0
Lake Magdalene,28.0741832,-82.4717613,2.0
West Lafayette,40.4258686,-86.9080655,3.0
Camarillo,34.2176371,-119.0383541,3.0
Flint,43.0161693,-83.6900211,3.0
Terrace,54.5172715,-128.599548,2.0
Burleson,32.5420821,-97.3208492,3.0
Apache Junction,33.4150485,-111.549577,2.0
Pinellas Park,27.8428025,-82.6995444,2.0
Rantoul,40.3083672,-88.1558785,3.0
Tierra Colorada,17.166111,-99.529444,2.0
West Linn,45.3656761,-122.612314,1.0
Rowland Heights,33.9761238,-117.905339,4.0
Stockton,37.9577016,-121.2907796,2.0
Coralville,41.6759977,-91.580705,3.0
Lyons,41.811108,-87.8232695,3.0
Inkster,42.2942045,-83.3099303,3.0
Dyer,35.4907547,-94.1380854,3.0
Plymouth,50.3712659,-4.1425658,2.0
Colotlan,22.1118391,-103.2668332,2.0
Barstow,34.8957684,-117.0172077,3.0
Tenafly,40.9253766,-73.9629154,3.0
Cortland,42.6011813,-76.1804843,3.0
Junction City,39.0286093,-96.8313978,3.0
Billings,45.7874957,-108.49607,2.0
Hamtramck,42.3928151,-83.0496438,3.0
Hurst,32.8234621,-97.1705678,4.0
New Carrollton,38.9698329,-76.8799727,3.0
Tala,48.2353737,21.229904,1.0
Jersey City,40.7215682,-74.047455,3.0
Belvedere Park,33.7548545,-84.2673149,4.0
Plum,40.5003457,-79.7494911,3.0
Simcoe,42.8372434,-80.3039146,3.0
Gahanna,40.0195625,-82.8791363,3.0
North Charleston,32.8546197,-79.9748103,3.0
Napa,38.2971367,-122.2855293,3.0
Allende,28.3420816,-100.8517302,2.0
Holladay,40.6710765,-111.8250278,2.0
Forest Park,41.8794989,-87.8136997,3.0
Menlo Park,37.4519671,-122.1779927,3.0
Wylie,33.0151201,-96.5388789,3.0
Leander,30.5603086,-97.8553655,3.0
Dickson,36.0766534,-87.3870096,3.0
Lauderhill,26.1403635,-80.2133808,2.0
