Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
41.1312,-74.3674,3,226.97,0.29,1.23,101.57,6.54,5.93,0.61
38.7907,-121.2358,2,273.71,1.27,8.48,63.66,8.51,4.92,1.88
42.3256,-83.331,3,270.37,1.0,4.28,108.72,14.95,13.9,3.76
42.1168,-83.0499,3,277.04,0.97,6.17,100.14,16.65,15.03,4.65
42.2418,-70.8898,2,480.65,2.95,38.39,82.25,22.14,18.83,5.72
19.3603,-99.3514,2,206.95,0.25,4.28,77.96,4.0,2.95,5.72
35.0718,-81.6498,3,220.3,0.13,1.23,120.16,11.76,10.34,5.36
43.0167,-88.007,3,247.0,1.28,1.65,100.14,11.48,10.32,1.71
34.9704,-78.9453,3,253.68,1.2,1.24,120.16,15.69,12.22,1.06
19.6011,-99.0525,2,230.31,0.0,13.02,69.38,6.89,6.22,66.76
40.8084,-82.9755,3,230.31,0.48,1.35,120.16,13.31,12.19,3.82
20.8947,-156.47,2,171.9,0.01,0.19,72.96,8.23,1.57,0.11
37.6819,-121.768,3,287.06,1.87,6.34,128.75,14.71,11.87,3.99
38.0291,-121.9616,2,337.12,4.5,12.17,77.96,21.98,19.06,5.31
19.6469,-99.2467,2,213.62,0.0,8.91,76.53,6.77,6.13,44.82
25.8901,-80.1867,2,201.94,0.09,2.1,95.84,3.4,0.93,0.58
44.8622,-93.5308,2,233.65,2.25,1.22,82.97,8.12,6.3,0.25
39.8855,-104.9872,2,307.08,1.44,13.88,85.12,10.79,9.15,5.6
40.7165,-73.3218,3,567.44,2.06,63.06,138.76,52.65,43.68,22.65
36.0041,-120.129,3,216.96,0.93,1.16,120.16,3.28,1.72,0.09
41.4153,-81.566,3,283.72,0.4,8.14,120.16,20.04,17.96,5.13
32.7253,-114.6244,3,233.65,0.87,2.08,101.57,22.58,5.68,1.36
39.0348,-76.9075,3,250.34,0.48,3.04,113.01,9.41,7.84,2.41
35.4676,-97.5164,3,273.71,1.5,4.41,113.01,14.33,13.44,3.1
28.615,-96.6261,3,220.3,0.36,0.73,121.59,8.97,6.41,1.27
20.6167,-103.2333,2,195.27,1.62,1.01,85.83,1.99,1.15,0.6
43.6121,-116.3915,1,327.11,3.71,8.05,40.05,10.25,6.57,0.31
49.6866,-124.9936,3,220.3,0.01,0.49,114.44,0.51,0.5,0.14
26.5381,-81.8992,2,205.28,0.1,0.8,86.55,1.76,1.45,0.09
36.8529,-75.978,3,236.99,0.0,1.35,105.86,10.43,4.73,1.19
41.3462,-73.079,3,240.33,0.33,3.56,113.01,6.91,6.1,2.06
41.3662,-81.8543,3,247.0,0.21,3.6,121.59,14.41,13.01,4.95
40.2859,-76.6503,3,220.3,0.7,1.56,103.0,8.19,6.53,3.13
37.0842,-94.5133,3,247.0,1.73,0.8,107.29,13.48,12.39,1.83
33.7856,-118.0851,4,587.46,2.12,73.34,160.22,60.12,47.4,40.05
18.7667,-98.9833,2,507.36,1.73,10.54,86.55,12.06,7.65,14.42
25.5333,-103.5333,2,191.93,0.92,0.88,78.68,5.79,1.49,0.45
30.2141,-92.3746,3,233.65,0.83,0.85,115.87,9.93,8.76,2.12
40.5068,-74.2654,3,250.34,0.46,7.37,117.3,7.92,6.42,5.36
42.1668,-71.2495,3,253.68,0.42,4.63,114.44,10.07,9.12,1.42
33.8596,-84.6838,3,216.96,0.86,3.68,130.18,9.5,7.5,13.59
19.5917,-98.9167,2,240.33,0.63,7.8,70.81,4.11,3.41,12.64
40.9312,-73.8988,3,270.37,0.91,10.28,111.58,9.76,7.93,3.07
36.175,-115.1372,2,647.54,4.81,43.53,31.83,34.61,16.97,4.29
42.4684,-82.9555,3,307.08,1.46,11.65,105.86,16.58,14.96,5.78
40.8154,-73.1123,3,373.84,1.24,21.94,137.33,24.65,19.13,5.13
44.3836,-89.8174,3,230.31,1.57,0.92,101.57,11.49,9.29,1.39
47.6104,-122.2007,2,243.66,0.29,10.2,60.08,6.79,3.37,2.5
41.5628,-83.6538,3,257.02,0.69,2.06,118.73,15.82,14.95,5.25
39.1582,-75.5244,3,270.37,1.5,2.74,133.04,15.71,13.75,4.17
39.6295,-79.9559,3,230.31,0.0,1.15,118.73,13.67,12.48,6.86
43.55,-96.7003,2,211.95,1.58,0.79,84.4,6.28,4.14,0.19
45.0725,-93.4558,2,247.0,2.28,1.48,75.1,7.47,6.29,0.23
39.2904,-76.6122,3,223.64,0.32,2.29,114.44,6.96,5.55,2.47
47.3073,-122.2284,1,247.0,0.44,10.2,45.06,6.32,3.27,3.28
45.4982,-122.4315,1,317.1,0.88,17.82,13.77,8.49,5.35,3.13
25.7667,-108.9667,2,236.99,0.74,0.81,70.1,6.49,5.31,0.33
42.1167,-86.4542,3,340.46,0.66,10.71,123.02,22.76,20.45,8.94
41.6539,-81.4504,3,257.02,0.0,2.83,131.61,19.64,17.56,4.35
41.7859,-88.1473,3,273.71,1.09,2.87,115.87,15.08,13.79,3.99
41.904,-72.4698,3,250.34,0.44,5.48,105.86,9.02,8.05,1.19
42.0953,-87.9376,3,283.72,1.44,4.11,114.44,15.4,14.19,3.19
33.6409,-117.6031,4,303.75,1.28,11.65,167.37,22.27,15.86,7.33
25.5384,-80.4089,3,201.94,0.09,1.46,100.14,2.51,0.97,0.76
39.8121,-121.5783,2,200.27,0.25,0.76,83.69,6.54,3.03,0.06
33.994,-96.3708,3,247.0,1.03,0.72,104.43,14.66,13.87,2.77
21.4022,-157.7394,2,175.24,0.0,0.17,72.96,11.15,1.98,0.18
43.4166,-116.1262,2,211.95,1.43,1.84,72.96,8.59,3.44,0.24
36.3126,-95.6161,3,260.35,1.2,1.22,120.16,13.83,12.89,1.51
34.0239,-118.172,3,300.41,1.77,23.65,123.02,23.89,13.88,10.01
34.0983,-118.3267,3,313.76,2.19,21.76,133.04,25.99,13.73,10.25
52.7101,-2.7521,2,206.95,0.72,0.78,64.37,5.96,1.44,0.37
39.7684,-86.158,3,260.35,0.62,5.1,123.02,13.68,12.29,6.91
45.0408,-93.263,2,240.33,2.03,1.71,83.69,7.49,6.05,0.36
28.0167,-105.2833,2,208.62,0.74,0.85,77.25,12.26,3.83,2.38
37.5741,-122.3794,3,453.95,2.03,35.64,103.0,28.25,20.84,10.73
37.271,-79.9414,2,206.95,0.35,0.93,92.98,5.16,4.06,0.5
20.6333,-100.7667,2,165.22,1.09,0.47,77.96,0.79,0.5,0.17
40.6851,-73.7018,3,527.38,2.95,72.66,105.86,35.24,29.52,29.09
36.8656,-87.4886,3,260.35,0.77,0.72,125.89,12.95,12.14,4.71
38.4832,-122.3344,3,250.34,1.41,3.26,111.58,11.73,10.03,4.23
33.9611,-116.5017,2,200.27,0.52,0.63,92.98,9.53,2.41,0.16
35.5941,-119.341,2,263.69,2.6,3.94,98.71,10.68,7.5,1.22
43.9276,-69.9759,2,226.97,0.2,4.37,89.41,4.75,4.31,0.92
33.5018,-81.9651,3,236.99,0.63,0.88,113.01,11.94,10.63,1.52
27.8936,-82.2404,2,206.95,0.13,1.69,98.71,3.8,2.46,0.28
32.7562,-91.8724,3,240.33,0.53,0.95,120.16,10.36,9.42,3.46
32.7766,-79.9309,3,220.3,0.07,1.8,101.57,11.47,5.64,5.78
40.9327,-74.0179,3,236.99,0.53,4.67,104.43,6.88,5.64,1.34
36.0215,-80.382,3,220.3,0.53,0.79,110.15,7.07,5.92,0.63
38.7673,-77.0847,3,287.06,1.35,7.11,117.3,15.05,12.53,3.99
40.8068,-74.1854,3,236.99,0.53,4.67,104.43,6.88,5.64,1.34
41.7355,-111.8344,2,205.28,1.33,2.08,66.52,3.37,2.71,0.17
29.1872,-82.1401,2,226.97,0.09,1.05,91.55,9.76,6.96,1.74
37.9407,22.9573,2,206.95,0.29,0.57,88.69,3.07,1.39,0.28
37.2276,-80.0128,2,196.93,0.3,0.36,92.98,4.09,3.19,0.54
40.6807,-73.4743,4,714.3,2.44,97.33,130.18,76.02,64.74,33.38
52.7667,-0.3833,2,205.28,0.93,1.99,75.1,1.79,0.57,0.39
35.1322,-118.449,3,233.65,2.12,5.18,113.01,6.62,4.09,0.59
21.3,-100.5167,2,163.56,0.25,0.32,75.1,0.68,0.51,0.05
43.6167,-73.0162,3,223.64,0.28,1.27,104.43,8.15,7.7,1.06
41.7004,-73.921,3,230.31,0.32,2.29,100.14,5.54,5.18,0.6
38.9592,-85.8903,3,226.97,0.42,0.85,111.58,11.43,10.48,6.02
42.8501,-78.7998,3,280.38,0.0,5.74,120.16,22.24,20.5,7.75
38.8814,-94.8191,3,236.99,1.0,1.33,108.72,11.56,10.96,3.31
43.0002,-107.5009,2,195.27,2.38,0.85,78.68,28.56,5.5,0.01
40.8665,-124.0828,1,230.31,0.31,9.17,47.21,7.1,3.8,1.01
41.603,-93.7241,3,223.64,0.96,1.09,113.01,10.85,8.97,2.0
47.727,-122.1796,2,233.65,0.27,9.68,62.94,5.82,2.85,2.8
31.8001,-106.2005,2,211.95,1.09,1.34,81.54,20.04,5.34,1.52
41.5039,-87.7131,3,273.71,0.95,5.74,120.16,15.03,13.25,10.37
30.3935,-86.4958,3,223.64,0.82,0.5,107.29,7.02,5.62,0.74
41.7407,-71.3087,3,283.72,0.74,7.28,124.45,12.33,11.52,2.3
45.1833,-93.9502,2,236.99,1.65,0.88,79.39,5.52,4.62,0.15
42.9634,-85.6681,3,293.73,1.2,3.51,125.89,17.72,16.46,5.25
35.1959,-85.1847,3,223.64,0.31,0.76,105.86,7.65,6.99,2.15
40.7673,-74.2049,3,233.65,0.41,4.11,114.44,7.62,6.18,2.21
32.5839,-117.1131,2,600.82,3.99,38.39,53.64,27.69,14.74,3.16
44.8755,-91.9193,2,230.31,2.12,1.04,90.84,10.2,7.86,0.77
35.3849,-77.9928,3,230.31,0.97,1.04,110.15,10.07,6.43,1.51
19.6869,-99.25,2,213.62,0.0,8.91,76.53,6.77,6.13,44.82
40.9478,-90.3712,3,236.99,1.16,0.99,105.86,8.61,7.91,2.24
41.417,-87.3653,3,287.06,1.11,7.11,117.3,15.35,13.71,9.06
35.5335,-78.3997,3,257.02,1.12,1.04,115.87,18.71,15.77,1.19
25.5833,-99.9833,2,233.65,0.46,2.87,85.12,5.84,3.29,16.45
20.6833,-101.35,2,170.23,0.61,0.62,78.68,0.72,0.5,0.24
41.85,-87.65,3,313.76,1.5,10.11,117.3,18.28,16.33,6.26
34.257,-85.1647,3,220.3,0.87,0.56,111.58,7.61,6.59,1.33
32.679,-115.4989,3,267.03,1.96,3.68,110.15,20.4,6.19,0.83
29.7675,-95.2338,3,267.03,0.8,7.28,138.76,14.5,10.97,7.09
41.7057,-70.2286,4,350.48,0.53,5.14,150.2,28.44,25.73,4.95
38.7714,-90.3709,4,313.76,0.93,4.76,153.07,21.58,19.98,9.42
40.6937,-75.1902,3,233.65,0.41,3.13,114.44,7.86,6.8,3.93
21.2667,-98.7833,2,200.27,0.27,0.46,75.1,1.94,1.59,0.14
