Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
33.8817,-118.117,3,317.1,1.19,26.39,117.3,18.04,13.05,12.64
33.2443,-86.8164,2,290.39,1.05,17.99,72.96,6.11,4.26,9.06
19.5167,-98.8833,2,507.36,3.14,24.68,80.82,11.04,9.08,16.93
26.9298,-82.0454,2,220.3,0.54,1.71,98.71,8.69,3.36,0.54
41.3614,-81.8129,1,347.14,1.19,27.08,43.99,6.76,5.34,2.12
21.3,-100.5167,2,163.56,0.4,0.64,70.1,0.71,0.61,0.07
41.512,-87.9656,2,236.99,0.89,8.31,90.12,4.21,3.22,6.02
45.1,-87.6307,2,230.31,0.96,3.73,90.84,4.1,3.64,3.1
41.8334,-72.0001,2,236.99,0.44,8.57,68.67,1.76,1.36,0.46
39.5523,-84.2333,2,300.41,1.36,10.11,68.67,10.84,8.44,1.03
42.2589,-88.1393,2,253.68,0.95,8.05,90.84,4.46,3.5,2.18
43.4926,-70.4534,1,243.66,0.28,7.37,55.08,1.44,1.17,0.05
41.1845,-73.1332,2,297.07,0.98,19.54,71.53,3.39,2.42,0.98
41.1253,-78.75,2,226.97,0.36,4.37,61.51,2.78,2.42,0.73
30.3658,-88.5561,2,260.35,0.67,9.68,87.26,5.61,5.11,3.61
41.7992,-85.4192,2,257.02,2.76,6.0,80.82,8.41,7.33,2.41
21.6333,-102.9667,2,195.27,0.7,0.44,69.38,3.37,2.89,0.46
34.4839,-114.3224,3,211.95,0.36,0.64,128.75,24.12,11.5,0.71
41.2223,-73.0565,2,240.33,0.45,6.77,80.11,2.41,1.75,0.34
39.0576,-76.9358,2,243.66,0.77,6.51,78.68,2.87,1.83,0.36
42.4331,-82.9241,2,460.63,2.53,58.26,36.12,10.54,7.83,8.7
37.0431,-100.921,3,213.62,1.33,0.99,104.43,10.65,8.49,1.83
43.1633,-87.9645,2,303.75,1.46,21.94,71.53,6.53,5.66,5.13
40.6669,-111.888,2,180.24,0.24,4.37,69.38,1.27,0.54,1.59
